Name	Abbreviation	RefSeq	GenBank	PaVE ID	PaVE Notes
Human papillomavirus 199	HPV199		KJ913662	HPV199REF	classification pending approval by ICTV
Human papillomavirus -mCG2	HPV-mCG2		JF966378	HPV-mCG2nr	Pending classification by the Reference center
Human papillomavirus -mCG3	HPV-mCG3		JF966379	HPV-mCG3nr	Pending classification by the Reference center
Human papillomavirus -mCH2	HPV-mCH2		KF791917	HPV-mCH2nr	Pending classification by the Reference center
Human papillomavirus -mFD1	HPV-mFD1		JF966375	HPV-mFD1nr	Pending classification by the Reference center
Human papillomavirus -mFD2	HPV-mFD2		JF966376	HPV-mFD2nr	Pending classification by the Reference center
Human papillomavirus -mFS1	HPV-mFS1		JF966373	HPV-mFS1nr	Pending classification by the Reference center
Human papillomavirus -mFi864	HPV-mFi864		KC311731	HPV-mFi864nr	Pending classification by the Reference center
Human papillomavirus -mKC5	HPV-mKC5		JX444073	HPV-mKC5nr	Pending classification by the Reference center
Human papillomavirus -mKN1	HPV-mKN1		JF966371	HPV-mKN1nr	Pending classification by the Reference center
Human papillomavirus -mKN2	HPV-mKN2		JF966372	HPV-mKN2nr	Pending classification by the Reference center
Human papillomavirus -mKN3	HPV-mKN3		JF966374	HPV-mKN3nr	Pending classification by the Reference center
Human papillomavirus -mL55	HPV-mL55		KF482069	HPV-mL55nr	Pending classification by the Reference center
Human papillomavirus -mRTRX7	HPV-mRTRX7		U85660	HPV-mRTRX7nr	Pending classification by the Reference center
Human papillomavirus -mSD2	HPV-mSD2		KC113191	HPV-mSD2nr	Pending classification by the Reference center
